accuracy;accuracy_balanced;alpha;balanced_brier_score;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,91041;0,8405100000000001;0,75;;0,06215;spambase;0,75;em_en;0,30085;0,80307;3717;884;0,9076700000000001;5;0,75007;0,9802700000000001;0,9708399999999999
0,93489;0,9070799999999999;0,75;;0,04961;spambase;0,7533;dedpul;0,2604;0,7500100000000001;3717;884;0,9511;6;0,75007;0,9627;0,97583
0,93489;0,9070799999999999;0,75;;0,04961;spambase;0,7533;random_dedpul;0,2604;0,7500100000000001;3717;884;0,9511;6;0,75007;0,9627;0,97583
0,93489;0,9070799999999999;0,75;;0,04961;spambase;0,7533;baseline_dedpul;0,2604;0,7500100000000001;3717;884;0,9511;6;0,75007;0,9627;0,97583
0,91579;0,85056;0,75;;0,06151;spambase;0,75;e1_en;0,29243;0,80029;3717;884;0,91319;6;0,75007;0,9809899999999999;0,9759899999999999
0,91579;0,85056;0,75;;0,06151;spambase;0,75;e3_en;0,29243;0,80029;3717;884;0,91319;6;0,75007;0,9809899999999999;0,9759899999999999
0,91579;0,85056;0,75;;0,06151;spambase;0,75;em_en;0,29243;0,80029;3717;884;0,91319;6;0,75007;0,9809899999999999;0,9759899999999999
0,93516;0,91479;0,75;;0,05032;spambase;0,7489;dedpul;0,42146000000000006;0,7500100000000001;3717;884;0,95793;7;0,75007;0,95552;0,97408
0,93516;0,91479;0,75;;0,05032;spambase;0,7489;random_dedpul;0,42146000000000006;0,7500100000000001;3717;884;0,95793;7;0,75007;0,95552;0,97408
0,93516;0,91479;0,75;;0,05032;spambase;0,7489;baseline_dedpul;0,42146000000000006;0,7500100000000001;3717;884;0,95793;7;0,75007;0,95552;0,97408
0,91714;0,8528899999999999;0,75;;0,05919;spambase;0,75;e1_en;0,27073;0,795;3717;884;0,9144399999999999;7;0,75007;0,98135;0,9751299999999999
0,91714;0,8528899999999999;0,75;;0,05919;spambase;0,75;e3_en;0,27073;0,795;3717;884;0,9144399999999999;7;0,75007;0,98135;0,9751299999999999
0,91714;0,8528899999999999;0,75;;0,05919;spambase;0,75;em_en;0,27073;0,795;3717;884;0,9144399999999999;7;0,75007;0,98135;0,9751299999999999
0,9365100000000001;0,91102;0,75;;0,04979;spambase;0,75159;dedpul;0,3482;0,7500100000000001;3717;884;0,9537700000000001;8;0,75007;0,96198;0,9739899999999999
0,9365100000000001;0,91102;0,75;;0,04979;spambase;0,75159;random_dedpul;0,3482;0,7500100000000001;3717;884;0,9537700000000001;8;0,75007;0,96198;0,9739899999999999
