accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,7472;0,50347;0,25;0,20143;0,15803;laplace;1;1;0,00785;e1_en;2,74195;0,08929;0,07512;0,37037;3;0,016;0,13557;0,71795
0,7472;0,51573;0,25;0,17303;0,15803;laplace;1;1;0,15932000000000002;e3_en;0,70391;0,06534;0,16723;0,45205;3;0,0528;0,07915;0,73037
0,7452;0,5058699999999999;0,25;0,18398;0,15803;laplace;1;1;0,099;em_en;1,5353299999999999;0,05515;0,11704;0,36956999999999995;3;0,0272;0,08986;0,7309899999999999
0,7432;0,50027;0,25;0,21131999999999998;0,15803;laplace;1;1;0,0782;dedpul;3,4385;0,09617;0,07821;0,25714000000000004;4;0,0144;0,14132999999999998;0,67378
0,7432;0,50027;0,25;0,21131999999999998;0,15803;laplace;1;1;0,0782;random_dedpul;3,4385;0,09617;0,07821;0,25714000000000004;4;0,0144;0,14132999999999998;0,67378
0,742;0,50213;0,25;0,19203;0,15803;laplace;1;1;0,21998;baseline_dedpul;2,09571;0,05482000000000001;0,13448;0,29167;4;0,0224;0,09165;0,68887
0,7484;0,49893000000000004;0,25;0,21929;0,15803;laplace;1;1;0,00022999999999999998;e1_en;3,3721699999999997;0,1101;0,04906;0,0;4;0,0;0,1646;0,67708
0,7448;0,49653;0,25;0,19529000000000002;0,15803;laplace;1;1;0,10262;e3_en;0,83796;0,07954;0,10775;0,0;4;0,0;0,11197;0,68895
0,7448;0,49653;0,25;0,19705;0,15803;laplace;1;1;0,096;em_en;1,08352;0,07942;0,10171000000000001;0,0;4;0,0;0,11463;0,68909
0,7468;0,5224;0,25;0,17818;0,15803;laplace;1;1;0,15886;dedpul;3,05093;0,03305;0,15887;0,46;5;0,0736;0,06379;0,70113
0,7468;0,5224;0,25;0,17818;0,15803;laplace;1;1;0,15886;random_dedpul;3,05093;0,03305;0,15887;0,46;5;0,0736;0,06379;0,70113
0,7232;0,67733;0,25;0,17690999999999998;0,15803;laplace;1;1;0,31843;baseline_dedpul;1,92914;0,06616;0,21606999999999998;0,45807;5;0,5856;0,10116;0,70886
0,748;0,51413;0,25;0,19002;0,15803;laplace;1;1;0,02477;e1_en;2,75831;0,06446;0,10817;0,46032;5;0,0464;0,09775;0,7074199999999999
0,7412;0,53467;0,25;0,17285999999999999;0,15803;laplace;1;1;0,18494000000000002;e3_en;0,79751;0,04845;0,19004000000000001;0,43678;5;0,1216;0,06904;0,70535
0,7424;0,53547;0,25;0,17364000000000002;0,15803;laplace;1;1;0,17800000000000002;em_en;1,15867;0,04459;0,18385;0,44443999999999995;5;0,1216;0,06656000000000001;0,70526
